id,AssetID,ComplianceStatus,RegulatoryReferences,Documentation
ComplianceRecord_A35,A35,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A36,A36,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A37,A37,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A38,A38,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A39,A39,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A40,A40,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A41,A41,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A42,A42,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A43,A43,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A44,A44,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A45,A45,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A46,A46,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A47,A47,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A48,A48,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A49,A49,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A50,A50,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A51,A51,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A52,A52,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A53,A53,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A54,A54,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A55,A55,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A56,A56,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A57,A57,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A58,A58,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A59,A59,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A60,A60,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A61,A61,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A62,A62,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A63,A63,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A64,A64,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A65,A65,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A66,A66,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A67,A67,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A68,A68,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A69,A69,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A70,A70,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A71,A71,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A72,A72,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A73,A73,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A74,A74,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A75,A75,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A76,A76,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A77,A77,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A78,A78,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A79,A79,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A80,A80,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A81,A81,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A82,A82,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A83,A83,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A84,A84,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A85,A85,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A86,A86,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A87,A87,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A88,A88,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A89,A89,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A90,A90,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A91,A91,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A92,A92,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A93,A93,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A94,A94,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A95,A95,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A96,A96,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A97,A97,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A98,A98,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A99,A99,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A100,A100,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A101,A101,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A102,A102,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A103,A103,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A104,A104,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A105,A105,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A106,A106,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A107,A107,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A108,A108,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A109,A109,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A110,A110,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A111,A111,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A112,A112,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A113,A113,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A114,A114,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A115,A115,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A116,A116,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A117,A117,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A118,A118,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A119,A119,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A120,A120,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A121,A121,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A122,A122,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A123,A123,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A124,A124,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A125,A125,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A126,A126,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A127,A127,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A128,A128,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A129,A129,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A130,A130,Compliant,Regulatory references details...,Documentation details...
