id,name,SampleID,BatchID,Test,Result,AssetID,WOID,Status,FacilityID,SiteID
LIMS-12,LIMS-BPO1-1-3-WO-BPO1-1-3-LIMS,SMP-12,BPO1-1-3,Chemical Analysis,94,,WO-BPO1-1-3-LIMS,Passed,F-1-S3,S3
LIMS-13,LIMS-BPO1-1-3-WO-BPO1-1-3-LIMS,SMP-13,BPO1-1-3,Physical Testing,94,,WO-BPO1-1-3-LIMS,Passed,F-1-S3,S3
LIMS-14,LIMS-BPO1-1-3-WO-BPO1-1-3-LIMS,SMP-14,BPO1-1-3,Environmental Monitoring,94,,WO-BPO1-1-3-LIMS,Passed,F-1-S3,S3
LIMS-15,LIMS-BPO1-1-3-WO-BPO1-1-3-LIMS,SMP-15,BPO1-1-3,Stability Testing,91,,WO-BPO1-1-3-LIMS,Passed,F-1-S3,S3
LIMS-16,LIMS-BPO1-1-4-WO-BPO1-1-4-LIMS,SMP-16,BPO1-1-4,Microbiological Testing,91,,WO-BPO1-1-4-LIMS,Passed,F-1-S3,S3
LIMS-17,LIMS-BPO1-1-4-WO-BPO1-1-4-LIMS,SMP-17,BPO1-1-4,Chemical Analysis,96,,WO-BPO1-1-4-LIMS,Passed,F-1-S3,S3
LIMS-18,LIMS-BPO1-1-4-WO-BPO1-1-4-LIMS,SMP-18,BPO1-1-4,Physical Testing,99,,WO-BPO1-1-4-LIMS,Passed,F-1-S3,S3
LIMS-19,LIMS-BPO1-1-4-WO-BPO1-1-4-LIMS,SMP-19,BPO1-1-4,Environmental Monitoring,96,,WO-BPO1-1-4-LIMS,Passed,F-1-S3,S3
LIMS-20,LIMS-BPO1-1-4-WO-BPO1-1-4-LIMS,SMP-20,BPO1-1-4,Stability Testing,84,,WO-BPO1-1-4-LIMS,InProgress,F-1-S3,S3
LIMS-21,LIMS-BPO1-1-5-WO-BPO1-1-5-LIMS,SMP-21,BPO1-1-5,Microbiological Testing,93,,WO-BPO1-1-5-LIMS,Passed,F-1-S3,S3
LIMS-22,LIMS-BPO1-1-5-WO-BPO1-1-5-LIMS,SMP-22,BPO1-1-5,Chemical Analysis,93,,WO-BPO1-1-5-LIMS,Passed,F-1-S3,S3
LIMS-23,LIMS-BPO1-1-5-WO-BPO1-1-5-LIMS,SMP-23,BPO1-1-5,Physical Testing,96,,WO-BPO1-1-5-LIMS,Passed,F-1-S3,S3
LIMS-24,LIMS-BPO1-1-5-WO-BPO1-1-5-LIMS,SMP-24,BPO1-1-5,Environmental Monitoring,95,,WO-BPO1-1-5-LIMS,Passed,F-1-S3,S3
LIMS-25,LIMS-BPO1-1-5-WO-BPO1-1-5-LIMS,SMP-25,BPO1-1-5,Stability Testing,87,,WO-BPO1-1-5-LIMS,InProgress,F-1-S3,S3
LIMS-26,LIMS-BPO1-1-6-WO-BPO1-1-6-LIMS,SMP-26,BPO1-1-6,Microbiological Testing,76,,WO-BPO1-1-6-LIMS,Failed,F-1-S3,S3
LIMS-27,LIMS-BPO1-1-6-WO-BPO1-1-6-LIMS,SMP-27,BPO1-1-6,Chemical Analysis,98,,WO-BPO1-1-6-LIMS,Passed,F-1-S3,S3
LIMS-28,LIMS-BPO1-1-6-WO-BPO1-1-6-LIMS,SMP-28,BPO1-1-6,Physical Testing,98,,WO-BPO1-1-6-LIMS,Passed,F-1-S3,S3
LIMS-29,LIMS-BPO1-1-6-WO-BPO1-1-6-LIMS,SMP-29,BPO1-1-6,Environmental Monitoring,100,,WO-BPO1-1-6-LIMS,Passed,F-1-S3,S3
LIMS-30,LIMS-BPO1-1-6-WO-BPO1-1-6-LIMS,SMP-30,BPO1-1-6,Stability Testing,91,,WO-BPO1-1-6-LIMS,Passed,F-1-S3,S3
LIMS-31,LIMS-BPO1-1-7-WO-BPO1-1-7-LIMS,SMP-31,BPO1-1-7,Microbiological Testing,99,,WO-BPO1-1-7-LIMS,Passed,F-1-S3,S3
LIMS-32,LIMS-BPO1-1-7-WO-BPO1-1-7-LIMS,SMP-32,BPO1-1-7,Chemical Analysis,96,,WO-BPO1-1-7-LIMS,Passed,F-1-S3,S3
LIMS-33,LIMS-BPO1-1-7-WO-BPO1-1-7-LIMS,SMP-33,BPO1-1-7,Physical Testing,100,,WO-BPO1-1-7-LIMS,Passed,F-1-S3,S3
LIMS-34,LIMS-BPO1-1-7-WO-BPO1-1-7-LIMS,SMP-34,BPO1-1-7,Environmental Monitoring,92,,WO-BPO1-1-7-LIMS,Passed,F-1-S3,S3
LIMS-35,LIMS-BPO1-1-7-WO-BPO1-1-7-LIMS,SMP-35,BPO1-1-7,Stability Testing,96,,WO-BPO1-1-7-LIMS,Passed,F-1-S3,S3
LIMS-36,LIMS-BPO2-2-1-WO-BPO2-2-1-LIMS,SMP-36,BPO2-2-1,Microbiological Testing,96,,WO-BPO2-2-1-LIMS,Passed,F-1-S10,S10
LIMS-37,LIMS-BPO2-2-1-WO-BPO2-2-1-LIMS,SMP-37,BPO2-2-1,Chemical Analysis,97,,WO-BPO2-2-1-LIMS,Passed,F-1-S10,S10
LIMS-38,LIMS-BPO2-2-1-WO-BPO2-2-1-LIMS,SMP-38,BPO2-2-1,Physical Testing,93,,WO-BPO2-2-1-LIMS,Passed,F-1-S10,S10
LIMS-39,LIMS-BPO2-2-1-WO-BPO2-2-1-LIMS,SMP-39,BPO2-2-1,Environmental Monitoring,91,,WO-BPO2-2-1-LIMS,Passed,F-1-S10,S10
LIMS-40,LIMS-BPO2-2-1-WO-BPO2-2-1-LIMS,SMP-40,BPO2-2-1,Stability Testing,93,,WO-BPO2-2-1-LIMS,Passed,F-1-S10,S10
LIMS-41,LIMS-BPO2-2-2-WO-BPO2-2-2-LIMS,SMP-41,BPO2-2-2,Microbiological Testing,100,,WO-BPO2-2-2-LIMS,Passed,F-1-S10,S10
LIMS-42,LIMS-BPO2-2-2-WO-BPO2-2-2-LIMS,SMP-42,BPO2-2-2,Chemical Analysis,94,,WO-BPO2-2-2-LIMS,Passed,F-1-S10,S10
LIMS-43,LIMS-BPO2-2-2-WO-BPO2-2-2-LIMS,SMP-43,BPO2-2-2,Physical Testing,94,,WO-BPO2-2-2-LIMS,Passed,F-1-S10,S10
LIMS-44,LIMS-BPO2-2-2-WO-BPO2-2-2-LIMS,SMP-44,BPO2-2-2,Environmental Monitoring,82,,WO-BPO2-2-2-LIMS,InProgress,F-1-S10,S10
LIMS-45,LIMS-BPO2-2-2-WO-BPO2-2-2-LIMS,SMP-45,BPO2-2-2,Stability Testing,96,,WO-BPO2-2-2-LIMS,Passed,F-1-S10,S10
LIMS-46,LIMS-BPO2-2-3-WO-BPO2-2-3-LIMS,SMP-46,BPO2-2-3,Microbiological Testing,94,,WO-BPO2-2-3-LIMS,Passed,F-1-S10,S10
LIMS-47,LIMS-BPO2-2-3-WO-BPO2-2-3-LIMS,SMP-47,BPO2-2-3,Chemical Analysis,96,,WO-BPO2-2-3-LIMS,Passed,F-1-S10,S10
LIMS-48,LIMS-BPO2-2-3-WO-BPO2-2-3-LIMS,SMP-48,BPO2-2-3,Physical Testing,86,,WO-BPO2-2-3-LIMS,InProgress,F-1-S10,S10
LIMS-49,LIMS-BPO2-2-3-WO-BPO2-2-3-LIMS,SMP-49,BPO2-2-3,Environmental Monitoring,92,,WO-BPO2-2-3-LIMS,Passed,F-1-S10,S10
LIMS-50,LIMS-BPO2-2-3-WO-BPO2-2-3-LIMS,SMP-50,BPO2-2-3,Stability Testing,84,,WO-BPO2-2-3-LIMS,InProgress,F-1-S10,S10
LIMS-51,LIMS-BPO2-2-4-WO-BPO2-2-4-LIMS,SMP-51,BPO2-2-4,Microbiological Testing,98,,WO-BPO2-2-4-LIMS,Passed,F-1-S10,S10
LIMS-52,LIMS-BPO2-2-4-WO-BPO2-2-4-LIMS,SMP-52,BPO2-2-4,Chemical Analysis,100,,WO-BPO2-2-4-LIMS,Passed,F-1-S10,S10
LIMS-53,LIMS-BPO2-2-4-WO-BPO2-2-4-LIMS,SMP-53,BPO2-2-4,Physical Testing,99,,WO-BPO2-2-4-LIMS,Passed,F-1-S10,S10
LIMS-54,LIMS-BPO2-2-4-WO-BPO2-2-4-LIMS,SMP-54,BPO2-2-4,Environmental Monitoring,95,,WO-BPO2-2-4-LIMS,Passed,F-1-S10,S10
LIMS-55,LIMS-BPO2-2-4-WO-BPO2-2-4-LIMS,SMP-55,BPO2-2-4,Stability Testing,83,,WO-BPO2-2-4-LIMS,InProgress,F-1-S10,S10
LIMS-56,LIMS-BPO2-2-5-WO-BPO2-2-5-LIMS,SMP-56,BPO2-2-5,Microbiological Testing,93,,WO-BPO2-2-5-LIMS,Passed,F-1-S10,S10
LIMS-57,LIMS-BPO2-2-5-WO-BPO2-2-5-LIMS,SMP-57,BPO2-2-5,Chemical Analysis,98,,WO-BPO2-2-5-LIMS,Passed,F-1-S10,S10
LIMS-58,LIMS-BPO2-2-5-WO-BPO2-2-5-LIMS,SMP-58,BPO2-2-5,Physical Testing,94,,WO-BPO2-2-5-LIMS,Passed,F-1-S10,S10
LIMS-59,LIMS-BPO2-2-5-WO-BPO2-2-5-LIMS,SMP-59,BPO2-2-5,Environmental Monitoring,93,,WO-BPO2-2-5-LIMS,Passed,F-1-S10,S10
LIMS-60,LIMS-BPO2-2-5-WO-BPO2-2-5-LIMS,SMP-60,BPO2-2-5,Stability Testing,97,,WO-BPO2-2-5-LIMS,Passed,F-1-S10,S10
LIMS-61,LIMS-BPO2-2-6-WO-BPO2-2-6-LIMS,SMP-61,BPO2-2-6,Microbiological Testing,86,,WO-BPO2-2-6-LIMS,InProgress,F-1-S10,S10
LIMS-62,LIMS-BPO2-2-6-WO-BPO2-2-6-LIMS,SMP-62,BPO2-2-6,Chemical Analysis,93,,WO-BPO2-2-6-LIMS,Passed,F-1-S10,S10
LIMS-63,LIMS-BPO2-2-6-WO-BPO2-2-6-LIMS,SMP-63,BPO2-2-6,Physical Testing,98,,WO-BPO2-2-6-LIMS,Passed,F-1-S10,S10
LIMS-64,LIMS-BPO2-2-6-WO-BPO2-2-6-LIMS,SMP-64,BPO2-2-6,Environmental Monitoring,93,,WO-BPO2-2-6-LIMS,Passed,F-1-S10,S10
LIMS-65,LIMS-BPO2-2-6-WO-BPO2-2-6-LIMS,SMP-65,BPO2-2-6,Stability Testing,95,,WO-BPO2-2-6-LIMS,Passed,F-1-S10,S10
LIMS-66,LIMS-BPO2-2-7-WO-BPO2-2-7-LIMS,SMP-66,BPO2-2-7,Microbiological Testing,99,,WO-BPO2-2-7-LIMS,Passed,F-1-S10,S10
LIMS-67,LIMS-BPO2-2-7-WO-BPO2-2-7-LIMS,SMP-67,BPO2-2-7,Chemical Analysis,84,,WO-BPO2-2-7-LIMS,InProgress,F-1-S10,S10
LIMS-68,LIMS-BPO2-2-7-WO-BPO2-2-7-LIMS,SMP-68,BPO2-2-7,Physical Testing,92,,WO-BPO2-2-7-LIMS,Passed,F-1-S10,S10
LIMS-69,LIMS-BPO2-2-7-WO-BPO2-2-7-LIMS,SMP-69,BPO2-2-7,Environmental Monitoring,96,,WO-BPO2-2-7-LIMS,Passed,F-1-S10,S10
LIMS-70,LIMS-BPO2-2-7-WO-BPO2-2-7-LIMS,SMP-70,BPO2-2-7,Stability Testing,89,,WO-BPO2-2-7-LIMS,InProgress,F-1-S10,S10
LIMS-71,LIMS-BPO2-2-8-WO-BPO2-2-8-LIMS,SMP-71,BPO2-2-8,Microbiological Testing,92,,WO-BPO2-2-8-LIMS,Passed,F-1-S10,S10
LIMS-72,LIMS-BPO2-2-8-WO-BPO2-2-8-LIMS,SMP-72,BPO2-2-8,Chemical Analysis,84,,WO-BPO2-2-8-LIMS,InProgress,F-1-S10,S10
LIMS-73,LIMS-BPO2-2-8-WO-BPO2-2-8-LIMS,SMP-73,BPO2-2-8,Physical Testing,100,,WO-BPO2-2-8-LIMS,Passed,F-1-S10,S10
LIMS-74,LIMS-BPO2-2-8-WO-BPO2-2-8-LIMS,SMP-74,BPO2-2-8,Environmental Monitoring,84,,WO-BPO2-2-8-LIMS,InProgress,F-1-S10,S10
LIMS-75,LIMS-BPO2-2-8-WO-BPO2-2-8-LIMS,SMP-75,BPO2-2-8,Stability Testing,92,,WO-BPO2-2-8-LIMS,Passed,F-1-S10,S10
LIMS-76,LIMS-BPO2-2-9-WO-BPO2-2-9-LIMS,SMP-76,BPO2-2-9,Microbiological Testing,95,,WO-BPO2-2-9-LIMS,Passed,F-1-S10,S10
LIMS-77,LIMS-BPO2-2-9-WO-BPO2-2-9-LIMS,SMP-77,BPO2-2-9,Chemical Analysis,98,,WO-BPO2-2-9-LIMS,Passed,F-1-S10,S10
LIMS-78,LIMS-BPO2-2-9-WO-BPO2-2-9-LIMS,SMP-78,BPO2-2-9,Physical Testing,97,,WO-BPO2-2-9-LIMS,Passed,F-1-S10,S10
LIMS-79,LIMS-BPO2-2-9-WO-BPO2-2-9-LIMS,SMP-79,BPO2-2-9,Environmental Monitoring,91,,WO-BPO2-2-9-LIMS,Passed,F-1-S10,S10
LIMS-80,LIMS-BPO2-2-9-WO-BPO2-2-9-LIMS,SMP-80,BPO2-2-9,Stability Testing,96,,WO-BPO2-2-9-LIMS,Passed,F-1-S10,S10
LIMS-81,LIMS-BPO2-2-10-WO-BPO2-2-10-LIMS,SMP-81,BPO2-2-10,Microbiological Testing,95,,WO-BPO2-2-10-LIMS,Passed,F-1-S10,S10
LIMS-82,LIMS-BPO2-2-10-WO-BPO2-2-10-LIMS,SMP-82,BPO2-2-10,Chemical Analysis,91,,WO-BPO2-2-10-LIMS,Passed,F-1-S10,S10
LIMS-83,LIMS-BPO2-2-10-WO-BPO2-2-10-LIMS,SMP-83,BPO2-2-10,Physical Testing,91,,WO-BPO2-2-10-LIMS,Passed,F-1-S10,S10
LIMS-84,LIMS-BPO2-2-10-WO-BPO2-2-10-LIMS,SMP-84,BPO2-2-10,Environmental Monitoring,88,,WO-BPO2-2-10-LIMS,InProgress,F-1-S10,S10
LIMS-85,LIMS-BPO2-2-10-WO-BPO2-2-10-LIMS,SMP-85,BPO2-2-10,Stability Testing,81,,WO-BPO2-2-10-LIMS,InProgress,F-1-S10,S10
LIMS-86,LIMS-BPO2-2-11-WO-BPO2-2-11-LIMS,SMP-86,BPO2-2-11,Microbiological Testing,91,,WO-BPO2-2-11-LIMS,Passed,F-1-S10,S10
LIMS-87,LIMS-BPO2-2-11-WO-BPO2-2-11-LIMS,SMP-87,BPO2-2-11,Chemical Analysis,92,,WO-BPO2-2-11-LIMS,Passed,F-1-S10,S10
LIMS-88,LIMS-BPO2-2-11-WO-BPO2-2-11-LIMS,SMP-88,BPO2-2-11,Physical Testing,99,,WO-BPO2-2-11-LIMS,Passed,F-1-S10,S10
LIMS-89,LIMS-BPO2-2-11-WO-BPO2-2-11-LIMS,SMP-89,BPO2-2-11,Environmental Monitoring,95,,WO-BPO2-2-11-LIMS,Passed,F-1-S10,S10
LIMS-90,LIMS-BPO2-2-11-WO-BPO2-2-11-LIMS,SMP-90,BPO2-2-11,Stability Testing,91,,WO-BPO2-2-11-LIMS,Passed,F-1-S10,S10
LIMS-91,LIMS-BPO2-2-12-WO-BPO2-2-12-LIMS,SMP-91,BPO2-2-12,Microbiological Testing,97,,WO-BPO2-2-12-LIMS,Passed,F-1-S10,S10
LIMS-92,LIMS-BPO2-2-12-WO-BPO2-2-12-LIMS,SMP-92,BPO2-2-12,Chemical Analysis,81,,WO-BPO2-2-12-LIMS,InProgress,F-1-S10,S10
LIMS-93,LIMS-BPO2-2-12-WO-BPO2-2-12-LIMS,SMP-93,BPO2-2-12,Physical Testing,98,,WO-BPO2-2-12-LIMS,Passed,F-1-S10,S10
LIMS-94,LIMS-BPO2-2-12-WO-BPO2-2-12-LIMS,SMP-94,BPO2-2-12,Environmental Monitoring,99,,WO-BPO2-2-12-LIMS,Passed,F-1-S10,S10
LIMS-95,LIMS-BPO2-2-12-WO-BPO2-2-12-LIMS,SMP-95,BPO2-2-12,Stability Testing,92,,WO-BPO2-2-12-LIMS,Passed,F-1-S10,S10
LIMS-96,LIMS-BPO3-3-1-WO-BPO3-3-1-LIMS,SMP-96,BPO3-3-1,Microbiological Testing,93,,WO-BPO3-3-1-LIMS,Passed,F-1-S8,S8
LIMS-97,LIMS-BPO3-3-1-WO-BPO3-3-1-LIMS,SMP-97,BPO3-3-1,Chemical Analysis,84,,WO-BPO3-3-1-LIMS,InProgress,F-1-S8,S8
LIMS-98,LIMS-BPO3-3-1-WO-BPO3-3-1-LIMS,SMP-98,BPO3-3-1,Physical Testing,99,,WO-BPO3-3-1-LIMS,Passed,F-1-S8,S8
LIMS-99,LIMS-BPO3-3-1-WO-BPO3-3-1-LIMS,SMP-99,BPO3-3-1,Environmental Monitoring,98,,WO-BPO3-3-1-LIMS,Passed,F-1-S8,S8
LIMS-100,LIMS-BPO3-3-1-WO-BPO3-3-1-LIMS,SMP-100,BPO3-3-1,Stability Testing,92,,WO-BPO3-3-1-LIMS,Passed,F-1-S8,S8
LIMS-101,LIMS-BPO3-3-2-WO-BPO3-3-2-LIMS,SMP-101,BPO3-3-2,Microbiological Testing,100,,WO-BPO3-3-2-LIMS,Passed,F-1-S8,S8
LIMS-102,LIMS-BPO3-3-2-WO-BPO3-3-2-LIMS,SMP-102,BPO3-3-2,Chemical Analysis,83,,WO-BPO3-3-2-LIMS,InProgress,F-1-S8,S8
LIMS-103,LIMS-BPO3-3-2-WO-BPO3-3-2-LIMS,SMP-103,BPO3-3-2,Physical Testing,94,,WO-BPO3-3-2-LIMS,Passed,F-1-S8,S8
LIMS-104,LIMS-BPO3-3-2-WO-BPO3-3-2-LIMS,SMP-104,BPO3-3-2,Environmental Monitoring,94,,WO-BPO3-3-2-LIMS,Passed,F-1-S8,S8
LIMS-105,LIMS-BPO3-3-2-WO-BPO3-3-2-LIMS,SMP-105,BPO3-3-2,Stability Testing,95,,WO-BPO3-3-2-LIMS,Passed,F-1-S8,S8
LIMS-106,LIMS-BPO3-3-3-WO-BPO3-3-3-LIMS,SMP-106,BPO3-3-3,Microbiological Testing,93,,WO-BPO3-3-3-LIMS,Passed,F-1-S8,S8
LIMS-107,LIMS-BPO3-3-3-WO-BPO3-3-3-LIMS,SMP-107,BPO3-3-3,Chemical Analysis,94,,WO-BPO3-3-3-LIMS,Passed,F-1-S8,S8
LIMS-108,LIMS-BPO3-3-3-WO-BPO3-3-3-LIMS,SMP-108,BPO3-3-3,Physical Testing,85,,WO-BPO3-3-3-LIMS,InProgress,F-1-S8,S8
LIMS-109,LIMS-BPO3-3-3-WO-BPO3-3-3-LIMS,SMP-109,BPO3-3-3,Environmental Monitoring,92,,WO-BPO3-3-3-LIMS,Passed,F-1-S8,S8
LIMS-110,LIMS-BPO3-3-3-WO-BPO3-3-3-LIMS,SMP-110,BPO3-3-3,Stability Testing,95,,WO-BPO3-3-3-LIMS,Passed,F-1-S8,S8
LIMS-111,LIMS-BPO3-3-4-WO-BPO3-3-4-LIMS,SMP-111,BPO3-3-4,Microbiological Testing,91,,WO-BPO3-3-4-LIMS,Passed,F-1-S8,S8
LIMS-112,LIMS-BPO3-3-4-WO-BPO3-3-4-LIMS,SMP-112,BPO3-3-4,Chemical Analysis,92,,WO-BPO3-3-4-LIMS,Passed,F-1-S8,S8
LIMS-113,LIMS-BPO3-3-4-WO-BPO3-3-4-LIMS,SMP-113,BPO3-3-4,Physical Testing,95,,WO-BPO3-3-4-LIMS,Passed,F-1-S8,S8
LIMS-114,LIMS-BPO3-3-4-WO-BPO3-3-4-LIMS,SMP-114,BPO3-3-4,Environmental Monitoring,99,,WO-BPO3-3-4-LIMS,Passed,F-1-S8,S8
LIMS-115,LIMS-BPO3-3-4-WO-BPO3-3-4-LIMS,SMP-115,BPO3-3-4,Stability Testing,93,,WO-BPO3-3-4-LIMS,Passed,F-1-S8,S8
LIMS-116,LIMS-BPO3-3-5-WO-BPO3-3-5-LIMS,SMP-116,BPO3-3-5,Microbiological Testing,95,,WO-BPO3-3-5-LIMS,Passed,F-1-S8,S8
LIMS-117,LIMS-BPO3-3-5-WO-BPO3-3-5-LIMS,SMP-117,BPO3-3-5,Chemical Analysis,97,,WO-BPO3-3-5-LIMS,Passed,F-1-S8,S8
LIMS-118,LIMS-BPO3-3-5-WO-BPO3-3-5-LIMS,SMP-118,BPO3-3-5,Physical Testing,98,,WO-BPO3-3-5-LIMS,Passed,F-1-S8,S8
LIMS-119,LIMS-BPO3-3-5-WO-BPO3-3-5-LIMS,SMP-119,BPO3-3-5,Environmental Monitoring,93,,WO-BPO3-3-5-LIMS,Passed,F-1-S8,S8
LIMS-120,LIMS-BPO3-3-5-WO-BPO3-3-5-LIMS,SMP-120,BPO3-3-5,Stability Testing,99,,WO-BPO3-3-5-LIMS,Passed,F-1-S8,S8
LIMS-121,LIMS-BPO3-3-6-WO-BPO3-3-6-LIMS,SMP-121,BPO3-3-6,Microbiological Testing,99,,WO-BPO3-3-6-LIMS,Passed,F-1-S8,S8
LIMS-122,LIMS-BPO3-3-6-WO-BPO3-3-6-LIMS,SMP-122,BPO3-3-6,Chemical Analysis,94,,WO-BPO3-3-6-LIMS,Passed,F-1-S8,S8
LIMS-123,LIMS-BPO3-3-6-WO-BPO3-3-6-LIMS,SMP-123,BPO3-3-6,Physical Testing,97,,WO-BPO3-3-6-LIMS,Passed,F-1-S8,S8
LIMS-124,LIMS-BPO3-3-6-WO-BPO3-3-6-LIMS,SMP-124,BPO3-3-6,Environmental Monitoring,95,,WO-BPO3-3-6-LIMS,Passed,F-1-S8,S8
LIMS-125,LIMS-BPO3-3-6-WO-BPO3-3-6-LIMS,SMP-125,BPO3-3-6,Stability Testing,95,,WO-BPO3-3-6-LIMS,Passed,F-1-S8,S8
LIMS-126,LIMS-BPO3-3-7-WO-BPO3-3-7-LIMS,SMP-126,BPO3-3-7,Microbiological Testing,92,,WO-BPO3-3-7-LIMS,Passed,F-1-S8,S8
LIMS-127,LIMS-BPO3-3-7-WO-BPO3-3-7-LIMS,SMP-127,BPO3-3-7,Chemical Analysis,93,,WO-BPO3-3-7-LIMS,Passed,F-1-S8,S8
LIMS-128,LIMS-BPO3-3-7-WO-BPO3-3-7-LIMS,SMP-128,BPO3-3-7,Physical Testing,93,,WO-BPO3-3-7-LIMS,Passed,F-1-S8,S8
LIMS-129,LIMS-BPO3-3-7-WO-BPO3-3-7-LIMS,SMP-129,BPO3-3-7,Environmental Monitoring,99,,WO-BPO3-3-7-LIMS,Passed,F-1-S8,S8
LIMS-130,LIMS-BPO3-3-7-WO-BPO3-3-7-LIMS,SMP-130,BPO3-3-7,Stability Testing,93,,WO-BPO3-3-7-LIMS,Passed,F-1-S8,S8
LIMS-131,LIMS-BPO3-3-8-WO-BPO3-3-8-LIMS,SMP-131,BPO3-3-8,Microbiological Testing,93,,WO-BPO3-3-8-LIMS,Passed,F-1-S8,S8
LIMS-132,LIMS-BPO3-3-8-WO-BPO3-3-8-LIMS,SMP-132,BPO3-3-8,Chemical Analysis,97,,WO-BPO3-3-8-LIMS,Passed,F-1-S8,S8
LIMS-133,LIMS-BPO3-3-8-WO-BPO3-3-8-LIMS,SMP-133,BPO3-3-8,Physical Testing,92,,WO-BPO3-3-8-LIMS,Passed,F-1-S8,S8
LIMS-134,LIMS-BPO3-3-8-WO-BPO3-3-8-LIMS,SMP-134,BPO3-3-8,Environmental Monitoring,87,,WO-BPO3-3-8-LIMS,InProgress,F-1-S8,S8
LIMS-135,LIMS-BPO3-3-8-WO-BPO3-3-8-LIMS,SMP-135,BPO3-3-8,Stability Testing,94,,WO-BPO3-3-8-LIMS,Passed,F-1-S8,S8
LIMS-136,LIMS-BPO3-3-9-WO-BPO3-3-9-LIMS,SMP-136,BPO3-3-9,Microbiological Testing,84,,WO-BPO3-3-9-LIMS,InProgress,F-1-S8,S8
LIMS-137,LIMS-BPO3-3-9-WO-BPO3-3-9-LIMS,SMP-137,BPO3-3-9,Chemical Analysis,91,,WO-BPO3-3-9-LIMS,Passed,F-1-S8,S8
LIMS-138,LIMS-BPO3-3-9-WO-BPO3-3-9-LIMS,SMP-138,BPO3-3-9,Physical Testing,91,,WO-BPO3-3-9-LIMS,Passed,F-1-S8,S8
LIMS-139,LIMS-BPO3-3-9-WO-BPO3-3-9-LIMS,SMP-139,BPO3-3-9,Environmental Monitoring,95,,WO-BPO3-3-9-LIMS,Passed,F-1-S8,S8
LIMS-140,LIMS-BPO3-3-9-WO-BPO3-3-9-LIMS,SMP-140,BPO3-3-9,Stability Testing,95,,WO-BPO3-3-9-LIMS,Passed,F-1-S8,S8
LIMS-141,LIMS-BPO4-4-1-WO-BPO4-4-1-LIMS,SMP-141,BPO4-4-1,Microbiological Testing,91,,WO-BPO4-4-1-LIMS,Passed,F-1-S4,S4
LIMS-142,LIMS-BPO4-4-1-WO-BPO4-4-1-LIMS,SMP-142,BPO4-4-1,Chemical Analysis,99,,WO-BPO4-4-1-LIMS,Passed,F-1-S4,S4
LIMS-143,LIMS-BPO4-4-1-WO-BPO4-4-1-LIMS,SMP-143,BPO4-4-1,Physical Testing,92,,WO-BPO4-4-1-LIMS,Passed,F-1-S4,S4
LIMS-144,LIMS-BPO4-4-1-WO-BPO4-4-1-LIMS,SMP-144,BPO4-4-1,Environmental Monitoring,98,,WO-BPO4-4-1-LIMS,Passed,F-1-S4,S4
LIMS-145,LIMS-BPO4-4-1-WO-BPO4-4-1-LIMS,SMP-145,BPO4-4-1,Stability Testing,91,,WO-BPO4-4-1-LIMS,Passed,F-1-S4,S4
